id,timestamp,source_ip,destination_ip,protocol,source_port,destination_port,length
1,1788895793.667432,20.184.175.10,192.168.0.103,TCP,443,51793,54
2,1788895793.667443,20.184.175.10,192.168.0.103,TCP,443,51793,54
3,1788895793.667444,20.184.175.10,192.168.0.103,TCP,443,51793,54
4,1788895793.667445,20.184.175.10,192.168.0.103,TCP,443,51793,54
5,1788895793.667447,20.184.175.10,192.168.0.103,TCP,443,51793,93
6,1788895793.667449,20.184.175.17,192.168.0.103,TCP,443,56751,66
7,1788895793.667738,192.168.0.103,20.184.175.17,TCP,56751,443,54
8,1788895793.668561,192.168.0.103,20.184.175.17,TCP,56751,443,571
9,1788895793.71115,192.168.0.103,20.184.175.10,TCP,51793,443,54
10,1788895793.965265,172.64.148.235,192.168.0.103,TCP,443,61763,82
11,1788895793.965626,20.184.175.17,192.168.0.103,TCP,443,56751,153
12,1788895793.965676,20.184.175.10,192.168.0.103,TCP,443,51793,148
13,1788895793.965765,192.168.0.103,172.64.148.235,TCP,61763,443,82
14,1788895793.968061,192.168.0.103,20.184.175.10,TCP,51793,443,89
15,1788895793.968605,192.168.0.103,20.184.175.17,TCP,56751,443,491
16,1788895793.969331,172.64.148.235,192.168.0.103,TCP,443,61763,58
17,1788895794.277533,20.184.175.17,192.168.0.103,TCP,443,56751,5814
18,1788895794.277561,20.184.175.17,192.168.0.103,TCP,443,56751,931
19,1788895794.277564,20.184.175.10,192.168.0.103,TCP,443,51793,54
20,1788895794.277692,192.168.0.103,20.184.175.17,TCP,56751,443,54
21,1788895794.284457,192.168.0.103,20.184.175.17,TCP,56751,443,4092
22,1788895794.591527,20.184.175.17,192.168.0.103,TCP,443,56751,157
23,1788895794.591537,20.184.175.17,192.168.0.103,TCP,443,56751,54
24,1788895794.591538,20.184.175.17,192.168.0.103,TCP,443,56751,54
25,1788895794.59154,20.184.175.17,192.168.0.103,TCP,443,56751,572
26,1788895794.591698,192.168.0.103,20.184.175.17,TCP,56751,443,54
27,1788895794.593129,192.168.0.103,20.184.175.17,TCP,56751,443,78
28,1788895794.593409,192.168.0.103,20.184.175.17,TCP,56751,443,54
29,1788895794.906385,20.184.175.17,192.168.0.103,TCP,443,56751,54
30,1788895795.183159,192.168.0.103,4.224.112.242,TCP,54727,443,104
31,1788895795.238023,4.224.112.242,192.168.0.103,TCP,443,54727,93
32,1788895795.292993,192.168.0.103,4.224.112.242,TCP,54727,443,54
33,1788895795.49774,192.168.0.103,4.213.25.240,TCP,63830,443,97
34,1788895795.558984,4.213.25.240,192.168.0.103,TCP,443,63830,228
35,1788895795.607021,192.168.0.103,4.213.25.240,TCP,63830,443,54
36,1788895796.254247,192.168.0.103,20.184.175.10,TCP,51793,443,172
37,1788895796.254373,192.168.0.103,20.184.175.10,TCP,51793,443,2908
38,1788895796.540892,20.184.175.10,192.168.0.103,TCP,443,51793,54
39,1788895796.541458,20.184.175.10,192.168.0.103,TCP,443,51793,153
40,1788895796.592808,192.168.0.103,20.184.175.10,TCP,51793,443,54
41,1788895797.356996,192.168.0.1,224.0.0.1,IP,-,-,46
42,1788895797.368112,192.168.0.1,239.255.255.250,IP,-,-,46
43,1788895798.397203,192.168.0.103,20.184.175.10,TCP,51793,443,172
44,1788895798.397436,192.168.0.103,20.184.175.10,TCP,51793,443,5428
45,1788895798.67564,20.184.175.10,192.168.0.103,TCP,443,51793,54
46,1788895798.675643,20.184.175.10,192.168.0.103,TCP,443,51793,54
47,1788895798.768549,20.184.175.10,192.168.0.103,TCP,443,51793,148
48,1788895798.814554,192.168.0.103,20.184.175.10,TCP,51793,443,54
49,1788895798.914299,192.168.0.1,239.255.255.250,IP,-,-,46
50,1788895801.219835,192.168.0.103,224.0.0.252,IP,-,-,46
51,1788895801.780607,192.168.0.103,8.8.8.8,ICMP,-,-,74
52,1788895801.805169,8.8.8.8,192.168.0.103,ICMP,-,-,78
53,1788895802.793951,192.168.0.103,8.8.8.8,ICMP,-,-,74
54,1788895802.828814,8.8.8.8,192.168.0.103,ICMP,-,-,78
55,1788895803.81922,192.168.0.103,8.8.8.8,ICMP,-,-,74
56,1788895803.853723,8.8.8.8,192.168.0.103,ICMP,-,-,78
57,1788895804.099345,192.168.0.103,2.18.96.7,TCP,53039,443,55
58,1788895804.099536,192.168.0.103,2.18.96.7,TCP,49372,443,55
59,1788895804.132307,2.18.96.7,192.168.0.103,TCP,443,53039,66
60,1788895804.132339,2.18.96.7,192.168.0.103,TCP,443,49372,66
61,1788895804.683499,192.168.0.103,192.168.0.1,UDP,52293,53,92
62,1788895804.684195,192.168.0.103,192.168.0.1,UDP,57980,53,92
63,1788895804.68489,192.168.0.103,20.184.175.10,TCP,51793,443,167
64,1788895804.685081,192.168.0.103,20.184.175.10,TCP,51793,443,2774
65,1788895804.696327,192.168.0.1,192.168.0.103,UDP,53,57980,215
66,1788895804.696334,192.168.0.1,192.168.0.103,UDP,53,52293,256
67,1788895804.839616,192.168.0.103,8.8.8.8,ICMP,-,-,74
68,1788895804.882229,8.8.8.8,192.168.0.103,ICMP,-,-,78
69,1788895804.944032,20.184.175.10,192.168.0.103,TCP,443,51793,54
70,1788895804.944043,20.184.175.10,192.168.0.103,TCP,443,51793,153
71,1788895804.946644,192.168.0.103,20.184.175.10,TCP,51793,443,89
72,1788895805.216046,192.168.0.103,224.0.0.251,IP,-,-,46
73,1788895805.333109,20.184.175.10,192.168.0.103,TCP,443,51793,54
74,1788895807.109313,192.168.0.103,157.240.227.60,TCP,59606,5222,124
75,1788895807.148504,157.240.227.60,192.168.0.103,TCP,5222,59606,54
76,1788895807.265386,157.240.227.60,192.168.0.103,TCP,5222,59606,126
77,1788895807.305682,192.168.0.103,157.240.227.60,TCP,59606,5222,54
78,1788895807.842297,192.168.0.103,20.184.175.10,TCP,51793,443,172
79,1788895807.842583,192.168.0.103,20.184.175.10,TCP,51793,443,6004
80,1788895808.214752,20.184.175.10,192.168.0.103,TCP,443,51793,54
81,1788895808.21476,20.184.175.10,192.168.0.103,TCP,443,51793,54
82,1788895808.214761,20.184.175.10,192.168.0.103,TCP,443,51793,89
83,1788895808.26586,192.168.0.103,20.184.175.10,TCP,51793,443,54
84,1788895808.619916,20.184.175.10,192.168.0.103,TCP,443,51793,153
85,1788895808.672887,192.168.0.103,20.184.175.10,TCP,51793,443,54
86,1788895812.108041,157.240.227.60,192.168.0.103,TCP,5222,59606,101
87,1788895812.139991,157.240.227.60,192.168.0.103,TCP,5222,59606,82
88,1788895812.139999,157.240.227.60,192.168.0.103,TCP,5222,59606,78
89,1788895812.14,157.240.227.60,192.168.0.103,TCP,5222,59606,54
90,1788895812.140091,192.168.0.103,157.240.227.60,TCP,59606,5222,54
91,1788895812.14059,192.168.0.103,157.240.227.60,TCP,59606,5222,54
92,1788895812.163857,157.240.227.60,192.168.0.103,TCP,5222,59606,54
93,1788895812.322366,192.168.0.103,192.168.0.1,UDP,49767,53,76
94,1788895812.323174,192.168.0.103,192.168.0.1,UDP,51128,53,76
95,1788895812.324626,192.168.0.103,192.168.0.1,UDP,63322,53,89
96,1788895812.325248,192.168.0.103,192.168.0.1,UDP,51667,53,76
97,1788895812.342619,192.168.0.1,192.168.0.103,UDP,53,49767,158
98,1788895812.371235,192.168.0.1,192.168.0.103,UDP,53,51667,129
99,1788895812.371242,192.168.0.1,192.168.0.103,UDP,53,63322,146
100,1788895812.372581,192.168.0.103,157.240.227.60,TCP,55944,5222,66
